Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio,video_id
5 Reglas de Oro que Me Hicieron MILLONARIO con el Trading,El Sensei,773000,250469,1019,https://www.youtube.com/watch?v=gCOZ0A_4238,146871924534838.06,gCOZ0A_4238
Estrategia para SCALPING con 2 INDICADORES 🔥 [Trading para Principiantes],Inverarg: Invertir en Argentina,436000,56579,83,https://www.youtube.com/watch?v=1xwpv-fyCPk,129583633542168.69,1xwpv-fyCPk
The Easiest Scalping Strategy,Riley Coleman,301000,718326,504,https://www.youtube.com/watch?v=Kg0LIvwLC-I,129129075250000.0,Kg0LIvwLC-I
"$280,000 CPI news trade  #cpi #xauusd #forextips",Raja Banks,314000,97829,105,https://www.youtube.com/watch?v=q0onnqIt3as,91862362704761.9,q0onnqIt3as
¿El ORO Subirá?🪙,Pablo Gil Trader,279000,15672,14,https://www.youtube.com/watch?v=atknrYqFqR0,87137439428571.42,atknrYqFqR0
El ORO está en MÁXIMOS HISTORICOS ⭐,Pablo Gil Trader,279000,5182,5,https://www.youtube.com/watch?v=9Qnt8N-JsIA,80674412400000.02,9Qnt8N-JsIA
Estrategia De Trading En Scalping Para Principiantes,Alex Ruiz,297000,200322,240,https://www.youtube.com/watch?v=omEXiOg5F4o,73625847075000.0,omEXiOg5F4o
How To Trade Gold (XAU/USD) In 2024 #trading #trader #forex #xauusd #gold,Words of Rizdom,237000,21297,17,https://www.youtube.com/watch?v=JAgP1f1wH0o,70366540764705.89,JAgP1f1wH0o
Estrategia De Trading Con Medias Móviles Perfecta Para Traders Principiantes,Alex Ruiz,297000,85155,109,https://www.youtube.com/watch?v=2x2VPfFLlzQ,68912269678899.086,2x2VPfFLlzQ
📊 TÉCNICAS DE SCALPING EN ORO Y PLATA (MÓDULO I),XTB Latam,207000,13794,9,https://www.youtube.com/watch?v=HlK3wx9b90o,65673234000000.0,HlK3wx9b90o
Las 2 Mejores Estrategias De Trading Para Empezar En 2024,Alex Ruiz,297000,182867,284,https://www.youtube.com/watch?v=PtQXzCit-K8,56797588742957.75,PtQXzCit-K8
Analizo El Código De Una De Las Mejores Estrategias De Trading,Alex Ruiz,297000,113332,179,https://www.youtube.com/watch?v=vpE4rYrIuhw,55848616692737.43,vpE4rYrIuhw
ESO sucede con el ORO❗️,Pablo Gil Trader,279000,13505,21,https://www.youtube.com/watch?v=NoHztnpsnSI,50059176428571.43,NoHztnpsnSI
Sistema de Trading RSI + Media Móvil Ponderada para operar a corto plazo (intra-dia),Pablo Gil Trader,279000,242648,379,https://www.youtube.com/watch?v=ZmLposmKLvs,49836313899736.15,ZmLposmKLvs
"A melhor estratégia para XAU USD, OURO, GOLD no M5",Wall Street Invest,398000,20451,74,https://www.youtube.com/watch?v=rAz9PGYChWs,43777300054054.06,rAz9PGYChWs
💥 SE FILTRA la ESTRATEGIA de RICHARD DENNIS (GANÓ 200 MILLONES con TRADING),Nexsson Trading,266000,161398,266,https://www.youtube.com/watch?v=bVC1V8VrJ9o,42931868000000.0,bVC1V8VrJ9o
Las BARRERAS que ROMPE el ORO 🏆,Pablo Gil Trader,279000,6397,12,https://www.youtube.com/watch?v=cM14kTiAWGg,41495739750000.0,cM14kTiAWGg
Conseguí Ser Rentable Con Esta Estrategia De Trading,Alex Ruiz,297000,78706,191,https://www.youtube.com/watch?v=o5i0yWkYfuI,36348573581151.83,o5i0yWkYfuI
¿Vale La Pena Hacer Trading? 💻📈📉,Mis Propias Finanzas,210000,130606,167,https://www.youtube.com/watch?v=htBZjQPPEX0,34489368862275.45,htBZjQPPEX0
